antecedents,consequents,support,confidence,lift
"STREET, CRIMINAL DAMAGE","Weekday, ARREST_NO",0.033,0.9166666666666667,1.0873863187030448
"Weekday, STREET, CRIMINAL DAMAGE",ARREST_NO,0.033,0.9166666666666667,1.0873863187030448
"STREET, CRIMINAL DAMAGE",ARREST_NO,0.033,0.9166666666666667,1.0873863187030448
"Minggu_4, Area_Utara",ARREST_NO,0.143,0.9166666666666666,1.0873863187030446
"Weekday, Minggu_4, Area_Utara",ARREST_NO,0.143,0.9166666666666666,1.0873863187030446
"Minggu_4, Area_Utara","Weekday, ARREST_NO",0.143,0.9166666666666666,1.0873863187030446
"APARTMENT, Minggu_4","Weekday, ARREST_NO",0.098,0.9158878504672898,1.086462456070332
"APARTMENT, Weekday, Minggu_4",ARREST_NO,0.098,0.9158878504672898,1.086462456070332
"APARTMENT, Minggu_4",ARREST_NO,0.098,0.9158878504672898,1.086462456070332
"Area_Tengah, THEFT, Minggu_4","ARREST_NO, Weekday",0.043,0.9148936170212765,1.085283056964741
"Area_Tengah, Weekday, THEFT, Minggu_4",ARREST_NO,0.043,0.9148936170212765,1.085283056964741
"Area_Tengah, THEFT, Minggu_4",ARREST_NO,0.043,0.9148936170212765,1.085283056964741
"Area_Selatan, Weekday, ASSAULT",ARREST_NO,0.031,0.9117647058823529,1.0815714186030285
"Area_Selatan, ASSAULT",ARREST_NO,0.031,0.9117647058823529,1.0815714186030285
"Area_Selatan, Weekday, APARTMENT",ARREST_NO,0.031,0.9117647058823529,1.0815714186030285
"Area_Selatan, APARTMENT","Weekday, ARREST_NO",0.031,0.9117647058823529,1.0815714186030285
"Area_Selatan, ASSAULT","ARREST_NO, Weekday",0.031,0.9117647058823529,1.0815714186030285
"Area_Selatan, APARTMENT",ARREST_NO,0.031,0.9117647058823529,1.0815714186030285
"Minggu_3, ASSAULT","ARREST_NO, Weekday",0.03,0.9090909090909091,1.0783996549121104
"Weekday, Minggu_3, ASSAULT",ARREST_NO,0.03,0.9090909090909091,1.0783996549121104
"Weekday, APARTMENT",ARREST_NO,0.15,0.9090909090909091,1.0783996549121104
"Weekday, Minggu_3, MOTOR VEHICLE THEFT",ARREST_NO,0.03,0.9090909090909091,1.0783996549121104
APARTMENT,"Weekday, ARREST_NO",0.15,0.9090909090909091,1.0783996549121104
"Minggu_3, MOTOR VEHICLE THEFT",ARREST_NO,0.03,0.9090909090909091,1.0783996549121104
"Minggu_3, MOTOR VEHICLE THEFT","Weekday, ARREST_NO",0.03,0.9090909090909091,1.0783996549121104
"Minggu_3, ASSAULT",ARREST_NO,0.03,0.9090909090909091,1.0783996549121104
APARTMENT,ARREST_NO,0.15,0.9090909090909091,1.0783996549121104
"RESIDENCE, Siang","ARREST_NO, Weekday",0.039,0.9069767441860466,1.0758917487378963
"RESIDENCE, Siang",ARREST_NO,0.039,0.9069767441860466,1.0758917487378963
"Weekday, THEFT, Area_Utara",ARREST_NO,0.078,0.9069767441860466,1.0758917487378963
"THEFT, Area_Utara","Weekday, ARREST_NO",0.078,0.9069767441860466,1.0758917487378963
"THEFT, Area_Utara",ARREST_NO,0.078,0.9069767441860466,1.0758917487378963
"RESIDENCE, Weekday, Siang",ARREST_NO,0.039,0.9069767441860466,1.0758917487378963
"THEFT, Malam","ARREST_NO, Weekday",0.068,0.9066666666666667,1.0755239224990116
"Weekday, THEFT, Malam",ARREST_NO,0.068,0.9066666666666667,1.0755239224990116
"THEFT, Malam",ARREST_NO,0.068,0.9066666666666667,1.0755239224990116
"Dini_Hari, Weekday, Minggu_4",ARREST_NO,0.096,0.9056603773584906,1.0743302222520648
"Dini_Hari, Weekday",ARREST_NO,0.096,0.9056603773584906,1.0743302222520648
Dini_Hari,"Weekday, ARREST_NO",0.096,0.9056603773584906,1.0743302222520648
Dini_Hari,ARREST_NO,0.096,0.9056603773584906,1.0743302222520648
"Dini_Hari, Minggu_4",ARREST_NO,0.096,0.9056603773584906,1.0743302222520648
"Dini_Hari, Minggu_4","Weekday, ARREST_NO",0.096,0.9056603773584906,1.0743302222520648
THEFT,"ARREST_NO, Weekday",0.222,0.9024390243902439,1.0705089257298268
"Weekday, THEFT",ARREST_NO,0.222,0.9024390243902439,1.0705089257298268
THEFT,ARREST_NO,0.222,0.9024390243902439,1.0705089257298268
"Area_Lainnya, APARTMENT",ARREST_NO,0.036,0.8999999999999999,1.0676156583629892
"Area_Lainnya, APARTMENT","Weekday, ARREST_NO",0.036,0.8999999999999999,1.0676156583629892
"Area_Lainnya, Weekday, APARTMENT",ARREST_NO,0.036,0.8999999999999999,1.0676156583629892
"Area_Tengah, Weekday, APARTMENT",ARREST_NO,0.053,0.8983050847457628,1.0656050827351873
"Area_Tengah, APARTMENT","Weekday, ARREST_NO",0.053,0.8983050847457628,1.0656050827351873
"Area_Tengah, APARTMENT",ARREST_NO,0.053,0.8983050847457628,1.0656050827351873
"Weekday, Area_Utara",ARREST_NO,0.203,0.8982300884955753,1.0655161192118332
Area_Utara,ARREST_NO,0.203,0.8982300884955753,1.0655161192118332
Area_Utara,"Weekday, ARREST_NO",0.203,0.8982300884955753,1.0655161192118332
"Area_Selatan, Siang, Minggu_3",ARREST_NO,0.044,0.8979591836734693,1.0651947611784927
"Area_Selatan, Weekday, Siang, Minggu_3",ARREST_NO,0.044,0.8979591836734693,1.0651947611784927
